features,accuracy,f1_score,precision,recall
"('Age', 'Breed1', 'Quantity', 'MaturitySize')",0.6298766255418473,0.6281893395436923,0.6309798987266965,0.6298766255418473
"('Age', 'Breed1', 'MaturitySize')",0.6295431810603535,0.6262953653155091,0.6323151390491702,0.6295431810603535
"('PhotoAmt', 'Age', 'Breed1', 'State', 'Breed2')",0.6288762920973658,0.6281093038046168,0.6291347695373137,0.6288762920973658
"('Age', 'Breed1', 'State', 'MaturitySize')",0.6272090696898966,0.6245494071604124,0.6292443011115352,0.6272090696898966
"('Age', 'Breed1', 'Breed2', 'Quantity', 'MaturitySize')",0.6265421807269089,0.6239626750335829,0.6284706835955038,0.6265421807269089
"('Age', 'Breed1', 'State', 'Quantity', 'MaturitySize')",0.6258752917639213,0.6253462546496955,0.625947310616212,0.6258752917639213
"('Age', 'Breed1', 'Breed2', 'Quantity')",0.6258752917639213,0.6242038266093815,0.6268807917223052,0.6258752917639213
"('PhotoAmt', 'Age', 'Breed1', 'Quantity', 'MaturitySize')",0.6248749583194398,0.6230779827879666,0.6259776275246188,0.6248749583194398
"('PhotoAmt', 'Age', 'Breed1', 'State', 'MaturitySize')",0.6248749583194398,0.6242747312935432,0.6249855817158899,0.6248749583194398
"('PhotoAmt', 'Age', 'Breed1', 'Breed2', 'Quantity')",0.624541513837946,0.6238000653015893,0.6247449949035986,0.624541513837946
"('Age', 'Breed1', 'Quantity')",0.6242080693564521,0.6225120919105301,0.625202490055176,0.6242080693564521
"('Age', 'Breed1', 'Quantity', 'MaturitySize', 'Fee')",0.6238746248749584,0.6227518149308171,0.6243631981821574,0.6238746248749584
"('Age', 'Breed1', 'Breed2', 'MaturitySize', 'Fee')",0.6232077359119707,0.6203883813032572,0.6252699612176715,0.6232077359119707
"('Age', 'Breed1', 'State', 'Breed2', 'Quantity')",0.6228742914304768,0.6216775061129854,0.6234100189235223,0.6228742914304768
"('Age', 'Breed1', 'State')",0.622540846948983,0.6197165023321125,0.624584506217117,0.622540846948983
"('Age', 'Breed1')",0.6222074024674892,0.6171729267076709,0.6266034517100852,0.6222074024674892
"('PhotoAmt', 'Age', 'Breed1', 'State', 'Quantity')",0.6215405135045015,0.6204524483476171,0.6219721089644118,0.6215405135045015
"('Age', 'Breed1', 'State', 'Breed2', 'MaturitySize')",0.62054018006002,0.6180875393454505,0.622153682685218,0.62054018006002
"('Age', 'Breed1', 'Color2')",0.6202067355785261,0.616478913517744,0.623077963926475,0.6202067355785261
"('Age', 'Breed1', 'State', 'Breed2')",0.6202067355785261,0.6176894256943267,0.6218717634303847,0.6202067355785261
"('Age', 'Breed1', 'Breed2', 'Quantity', 'Fee')",0.6202067355785261,0.6188210922686013,0.6208579081129244,0.6202067355785261
"('Age', 'Breed1', 'MaturitySize', 'Fee')",0.6198732910970324,0.6159079152960673,0.6229746526232415,0.6198732910970324
"('Age', 'Breed1', 'Color2', 'Quantity', 'MaturitySize')",0.6198732910970324,0.6190758825976491,0.6200764480382788,0.6198732910970324
"('Age', 'Breed1', 'Color1', 'Quantity', 'MaturitySize')",0.6198732910970324,0.6188485348353076,0.6202371746717991,0.6198732910970324
"('Age', 'Breed1', 'State', 'MaturitySize', 'Fee')",0.6195398466155385,0.6165802522012933,0.6216098206227748,0.6195398466155385
"('PhotoAmt', 'Age', 'Breed1', 'MaturitySize')",0.618539513171057,0.6161153572747111,0.6200670311153947,0.618539513171057
"('Age', 'Breed1', 'State', 'Breed2', 'Fee')",0.618539513171057,0.6157298410850817,0.6204291483349513,0.618539513171057
"('Age', 'Breed1', 'Color2', 'State', 'MaturitySize')",0.6175391797265756,0.616700696917635,0.6177491802803833,0.6175391797265756
"('Age', 'Breed1', 'State', 'Fee')",0.6172057352450817,0.6144747043114073,0.6189762644116356,0.6172057352450817
"('PhotoAmt', 'Age', 'Breed1', 'MaturitySize', 'Fee')",0.6172057352450817,0.6153540248981615,0.6181909646880341,0.6172057352450817
"('Age', 'Breed1', 'Color1', 'Breed2', 'Quantity')",0.6168722907635878,0.6158529116510729,0.6171986417790022,0.6168722907635878
"('Age', 'Breed1', 'Breed2', 'MaturitySize')",0.616538846282094,0.6126446350002064,0.6194025231832212,0.616538846282094
"('PhotoAmt', 'Age', 'Breed1', 'State')",0.616538846282094,0.6145738906615488,0.6176056578408256,0.616538846282094
"('Age', 'Breed1', 'Color1', 'Quantity', 'Fee')",0.6162054018006002,0.6144027190609196,0.6171282178660042,0.6162054018006002
"('Age', 'Breed1', 'State', 'Quantity')",0.6158719573191064,0.6147815332217864,0.6162368804211317,0.6158719573191064
"('PhotoAmt', 'Age', 'Breed1', 'Quantity', 'Fee')",0.6155385128376125,0.6141041764068127,0.6161536199261795,0.6155385128376125
"('Age', 'Breed1', 'Color1', 'Fee')",0.6155385128376125,0.6115546111213528,0.6184415837109742,0.6155385128376125
"('Age', 'Breed1', 'Color2', 'State', 'Fee')",0.6152050683561187,0.6119528480126317,0.6173901227071396,0.6152050683561187
"('Age', 'Breed1', 'Color1', 'Quantity')",0.6148716238746249,0.6126872524440649,0.6160854211675079,0.6148716238746249
"('PhotoAmt', 'Age', 'Breed1', 'Breed2', 'MaturitySize')",0.6148716238746249,0.6135288948839006,0.6154068720675314,0.6148716238746249
"('Age', 'Breed1', 'Color2', 'MaturitySize')",0.6148716238746249,0.6132371123060116,0.6156316664060215,0.6148716238746249
"('PhotoAmt', 'Age', 'Breed1', 'Breed2')",0.614538179393131,0.6128160637793627,0.6153615788409307,0.614538179393131
"('Age', 'Breed1', 'Color2', 'MaturitySize', 'Fee')",0.614538179393131,0.6126735651413542,0.6154767661450946,0.614538179393131
"('Age', 'Breed1', 'State', 'Quantity', 'Fee')",0.6142047349116372,0.6134311445415125,0.6143460540574402,0.6142047349116372
"('Age', 'Breed1', 'Color1', 'MaturitySize', 'Fee')",0.6142047349116372,0.6116048603850537,0.6157605538631816,0.6142047349116372
"('PhotoAmt', 'Age', 'Breed1', 'Fee')",0.6138712904301434,0.6112906235589431,0.6154000092559213,0.6138712904301434
"('Age', 'Breed1', 'Fee')",0.6138712904301434,0.609230201479243,0.6173328015797337,0.6138712904301434
"('PhotoAmt', 'Age', 'Breed1', 'Color1', 'State')",0.6135378459486496,0.6132586022362335,0.6134547682328775,0.6135378459486496
"('Age', 'Breed1', 'Quantity', 'Fee')",0.6135378459486496,0.611965211136042,0.6142254997633672,0.6135378459486496
"('PhotoAmt', 'Age', 'Breed1')",0.6132044014671557,0.6101723176940356,0.6151113644569891,0.6132044014671557
"('PhotoAmt', 'Age', 'Breed1', 'Quantity')",0.6132044014671557,0.6118090052692337,0.6137533690063224,0.6132044014671557
"('Age', 'Breed1', 'Color2', 'Breed2', 'Quantity')",0.6118706235411804,0.6106240419909793,0.6122940535912044,0.6118706235411804
"('Age', 'Breed1', 'Color2', 'Color1', 'MaturitySize')",0.6118706235411804,0.6109567689202514,0.6120761307169598,0.6118706235411805
"('Age', 'Breed1', 'Color1', 'State', 'MaturitySize')",0.6118706235411804,0.6096889983370338,0.6130060933028382,0.6118706235411804
"('PhotoAmt', 'Age', 'Breed1', 'Color1', 'MaturitySize')",0.6118706235411804,0.6105940236131601,0.612314914363337,0.6118706235411804
"('PhotoAmt', 'Age', 'Breed1', 'State', 'Fee')",0.6112037345781928,0.609286164750037,0.6121126976426222,0.6112037345781928
"('Age', 'Breed1', 'Color1', 'MaturitySize')",0.6112037345781928,0.6083851378434375,0.6128537686849193,0.6112037345781928
